(home),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Regions/Subregions/countries,(percent of population with access),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Rwanda,66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 66, 67, 66, 66, 66, 66, 66, 66, 66, 65,
Saint Helena,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,, 75, 75, 75, 75, 75, 77, 79, 80, 81, 82, 84, 85, 86, 87, 89, 89, 89,
Senegal,61, 61, 62, 62, 62, 63, 64, 64, 65, 65, 66, 67, 67, 67, 68, 68, 69, 70, 70, 71, 72,
Seychelles,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,38, 40, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 48, 49, 50, 51, 51, 52, 53, 54, 55,
Somalia,,,, 19, 19, 19, 19, 19, 20, 21, 22, 22, 24, 24, 25, 26, 27, 28, 28, 29, 29,
South Africa,83, 83, 83, 83, 83, 84, 85, 85, 85, 86, 86, 87, 87, 88, 89, 89, 90, 90, 91, 91, 91,
South Sudan,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,
Sudan (former),65, 64, 64, 64, 63, 63, 63, 63, 62, 62, 62, 61, 61, 61, 60, 60, 59, 59, 59, 58, 58,
Swaziland,39, 39, 39, 39, 41, 43, 45, 46, 49, 50, 52, 54, 56, 57, 59, 61, 63, 65, 66, 68, 71,
Togo,49, 49, 50, 51, 51, 52, 52, 53, 54, 55, 55, 56, 56, 57, 57, 58, 58, 59, 60, 61, 61,
Uganda,43, 44, 46, 47, 49, 50, 52, 53, 55, 56, 58, 59, 61, 62, 63, 65, 66, 68, 69, 71, 72,
United Republic of Tanzania,55, 55, 55, 55, 55, 55, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 53, 53, 53, 53,
Zambia,49, 49, 49, 50, 51, 51, 51, 52, 53, 53, 54, 55, 55, 56, 57, 58, 58, 59, 60, 61, 61,
Zimbabwe,79, 79, 80, 80, 79, 79, 79, 79, 80, 80, 80, 80, 80, 80, 80, 80, 79, 80, 80, 80, 80,
Asia,71, 72, 73, 74, 76, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 89, 90,
Caucasus and Central Asia,85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 86, 86, 86, 86, 86, 87, 87, 87, 87, 87, 87,
Armenia,,, 90, 90, 90, 90, 90, 90, 91, 92, 92, 93, 94, 94, 95, 95, 96, 96, 97, 98, 98,
Azerbaijan,70, 70, 70, 70, 70, 71, 72, 72, 72, 73, 74, 75, 75, 76, 77, 77, 78, 79, 80, 80, 80,
Georgia,81, 81, 81, 81, 81, 82, 84, 85, 87, 87, 89, 90, 92, 93, 94, 96, 97, 98, 98, 98, 98,
Kazakhstan,96, 96, 96, 96, 96, 96, 96, 96, 96, 95, 96, 95, 96, 96, 96, 96, 96, 95, 95, 95, 95,
Kyrgyzstan,, 78, 78, 78, 78, 78, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 90, 90,
Tajikistan,,,, 62, 62, 62, 61, 61, 62, 62, 61, 62, 62, 63, 63, 63, 63, 63, 63, 64, 64,
Turkmenistan,,,,, 83, 83, 83, 83, 83, 83, 83, 84, 84, 84, 84, 84, 84,,,,,
Uzbekistan,90, 90, 90, 90, 90, 90, 90, 89, 89, 89, 89, 89, 89, 88, 88, 88, 88, 87, 87, 87, 87,
East Asia,68, 69, 71, 72, 74, 75, 76, 77, 79, 80, 81, 83, 84, 85, 86, 87, 87, 89, 89, 90, 91,
China,67, 68, 70, 71, 73, 74, 75, 76, 78, 79, 80, 82, 83, 84, 85, 87, 87, 89, 89, 90, 91,
Democratic People's Republic of Korea,100,100,100,100,100,100,100,100,100,100,100,100,100,100, 99, 99, 99, 99, 99, 98, 98,
Mongolia,54, 54, 54, 54, 54, 56, 57, 59, 61, 63, 65, 67, 69, 71, 73, 75, 77, 80, 81, 82, 82,
Republic of Korea,, 90, 90, 90, 90, 90, 91, 91, 93, 93, 93, 94, 94, 95, 96, 96, 96, 97, 98, 98, 98,
East Asia (excluding China),92, 92, 92, 92, 92, 92, 93, 93, 94, 94, 94, 95, 95, 96, 96, 96, 96, 97, 98, 97, 97,
South Asia,72, 73, 74, 75, 76, 76, 77, 79, 79, 80, 81, 82, 83, 85, 85, 86, 87, 88, 89, 90, 90,
Afghanistan,,  2,  2,  2,  2,  2,  6, 10, 14, 18, 22, 26, 30, 33, 38, 42, 46, 50, 50, 50, 50,
Bangladesh,77, 77, 77, 78, 78, 78, 78, 78, 78, 79, 79, 79, 80, 80, 80, 81, 81, 81, 81, 81, 81,
Bhutan,,,,,,,, 86, 86, 86, 86, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96,
India,69, 71, 72, 73, 75, 75, 76, 78, 79, 80, 81, 82, 83, 85, 85, 86, 88, 89, 90, 91, 92,
Iran (Islamic Republic of),90, 90, 90, 91, 91, 91, 92, 92, 93, 93, 93, 94, 94, 95, 95, 94, 95, 95, 95, 96, 96,
Maldives,93, 93, 93, 93, 93, 93, 94, 94, 95, 95, 95, 96, 96, 97, 97, 97, 97, 97, 98, 98, 98,
Nepal,76, 77, 77, 78, 79, 80, 80, 81, 82, 82, 83, 84, 85, 85, 86, 86, 86, 87, 88, 89, 89,
Pakistan,85, 85, 86, 86, 86, 87, 87, 88, 88, 88, 89, 89, 89, 89, 89, 90, 90, 90, 91, 91, 92,
Sri Lanka,67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 81, 82, 83, 84, 86, 87, 89, 89, 91, 91,
South Asia (excluding India),78, 78, 79, 79, 79, 79, 79, 80, 81, 81, 82, 82, 83, 83, 84, 84, 85, 85, 86, 86, 86,
South East Asia,71, 72, 73, 73, 74, 75, 76, 77, 78, 79, 80, 81, 81, 82, 83, 84, 85, 85, 86, 87, 88,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,
Cambodia,31, 31, 32, 32, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64,
Indonesia,70, 71, 72, 72, 73, 74, 75, 76, 76, 77, 78, 78, 78, 79, 79, 80, 80, 80, 81, 81, 82,
Lao People's Democratic Republic,,,,, 39, 39, 40, 40, 41, 43, 45, 48, 50, 53, 55, 57, 59, 61, 63, 64, 67,
Malaysia,88, 89, 90, 91, 91, 92, 94, 94, 95, 96, 97, 97, 98, 99, 99,100,100,100,100,100,100,
Myanmar,56, 56, 56, 56, 57, 59, 61, 62, 64, 65, 67, 69, 70, 72, 74, 75, 77, 78, 80, 81, 83,
