(home),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Regions/Subregions/countries,(percent of population with access),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Poland,,,,,,,,,,,,,,,,,,,,,,
Portugal,96, 96, 96, 96, 97, 97, 97, 98, 98, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Republic of Moldova,,, 93, 93, 93, 93, 93, 93, 93, 93, 93, 94, 94, 94, 94, 94, 95, 95, 95, 96, 96,
Romania,75, 76, 77, 78, 79, 80, 81, 82, 82, 83, 84, 85, 86, 87, 88, 89, 89, 89, 89,,,
Russian Federation,93, 93, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 95, 95, 96, 96, 97, 97, 97, 97, 97,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,
Serbia,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Slovakia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Slovenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100, 99, 99, 99, 99,
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
The former Yugoslav Republic of Macedonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ukraine,,,,, 97, 97, 97, 97, 97, 96, 97, 97, 97, 97, 98, 98, 97, 97, 98, 98, 98,
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
United States of America,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
